PriceX,PriceY,sumX,sumXsqr,sumY,sumYsqr,sumXY,sumXlag,sumYlag,sumXsqrlag,sumYsqrlag,sumX_lagY,sumY_lagX,sumXY_lag,sumX_lagX,sumY_lagY,sumXprec,sumYprec,sumXsqrprec, sumYsqrprec,sumXYprec,gamma
76.24,73.84,149106.04,11259621.4918,143681.7,10454724.8436,10847426.1177,149029.8,143607.86,11253808.9542,10449272.498,10842174.4182,10841177.6225,10841796.5561,11253393.1007,10448631.4251,149029.12,143605.46,11253704.8054,10448912.306,10948373.4265,0.835944519161
75.93,74.48,149098.85,11258515.2773,143656.54,10450926.5496,10844954.3622,149022.92,143582.06,11252749.9124,10445379.2792,10839541.9206,10838675.5624,10839299.0958,11252201.0545,10444731.9054,149020.52,143579.59,11252379.6884,10445005.2471,10947446.8784,0.835944519161
74.2,71.04,149060.85,11252693.9289,143611.87,10444257.8913,10838698.5187,148986.65,143540.83,11247188.2889,10439211.2097,10833589.7167,10832591.2039,10833427.3507,11246556.1406,10438359.2069,148983.11,143535.49,11246650.4213,10438423.9869,10942992.2159,0.835944519161
73.74,71.35,149005.52,11244191.5208,143542.3,10433758.6438,10829186.5781,148931.78,143470.95,11238753.9332,10428667.8213,10823742.8185,10822986.2338,10823925.2291,11237772.7022,10427710.2266,148923.82,143464.26,11237516.6308,10427668.4022,10934533.3273,0.835944519161
77.21,75.75,148943.07,11234369.6041,143491.34,10426068.748,10820467.842,148865.86,143415.59,11228408.22,10420330.6855,10814815.504,10814048.7073,10814619.1845,11227818.6735,10419731.9791,148862.98,143413.74,11227955.196,10420046.988,10927883.4151,0.835944519161
79.08,74.06,148937.91,11233562.0359,143466.92,10422359.7424,10818152.0943,148858.83,143392.86,11227308.3895,10416874.8588,10812803.7811,10811784.64,10812295.4295,11227037.135,10416335.4291,148860.02,143391.75,11227495.1838,10416709.2135,10928689.5739,0.835944519161
77.89,72.33,148930.83,11232456.0153,143437.38,10418007.4168,10815324.4865,148852.94,143365.05,11226389.1632,10412775.7879,10810107.1279,10809049.8115,10809690.7028,11226018.0533,10412115.987,148852.85,143362.32,11226375.1349,10412373.4132,10930114.3439,0.835944519161
76.99,71.86,148924.14,11231414.0758,143392.93,10411358.1033,10811363.6882,148847.15,143321.07,11225486.6157,10406194.2437,10805955.8334,10804920.5351,10805831.1868,11224815.0575,10405271.8155,148843.24,143314.89,11224869.2658,10405267.8617,10929544.9906,0.835944519161
75.11,72.06,148875.85,11223870.1033,143321.46,10400597.818,10802139.3661,148800.74,143249.4,11218228.5912,10395405.1744,10796799.8933,10795749.0259,10796726.9395,11217492.5219,10394416.4332,148795.98,143242.38,11217490.8864,10394344.1716,10923414.3905,0.835944519161
75.26,72.18,148802.16,11212357.174,143247.3,10389329.1418,10790754.3714,148726.9,143175.12,11206693.1064,10384119.1894,10785295.4956,10784378.9122,10785322.1046,11205858.8577,10383161.5992,148720.93,143168.51,11205758.8611,10383121.2777,10913508.1498,0.835944519161
74.13,69.9,148711.91,11198042.8777,143148.38,10374157.4496,10775982.8642,148637.78,143078.48,11192547.6208,10369271.4396,10770461.9478,10769553.9415,10770801.1772,11191390.3994,10368016.4079,148627.79,143067.85,11190966.7033,10367672.3687,10900639.6245,0.835944519161
73.27,70.41,148593.31,11179173.0751,143029.17,10355866.0435,10757404.0851,148520.04,142958.76,11173804.5822,10350908.4754,10751663.7631,10750701.6058,10752245.1444,11172398.6257,10349368.5212,148507.0,142944.72,11171723.659,10348734.241,10883637.3982,0.835944519161
72.14,70.92,148455.71,11157164.6819,142888.24,10334232.3206,10735573.5599,148383.57,142817.32,11151960.5023,10329202.6742,10729755.8317,10729040.6047,10730457.3911,11150432.483,10327784.8708,148368.94,142804.83,11149635.649,10327275.0925,10864339.6427,0.835944519161
74.71,72.58,148317.22,11134887.3654,142765.54,10315048.3568,10714881.7566,148242.51,142692.96,11129305.7813,10309780.5004,10708941.2949,10708095.307,10709459.3048,11127963.0965,10308414.9834,148230.42,142681.34,11127353.1254,10307958.7168,10844672.2333,0.835944519161
76.05,73.87,148209.16,11117473.792,142658.1,10298244.4562,10697774.8398,148133.11,142584.23,11111690.1895,10292787.6793,10691967.2089,10691102.4957,10692157.0263,11110684.9409,10291721.1439,148125.13,142576.36,11110412.7511,10291563.0286,10829814.9154,0.835944519161
74.54,73.96,148114.86,11102518.647,142586.78,10287272.1608,10684870.7115,148040.32,142512.82,11096962.4354,10281802.0792,10679182.2058,10678447.9007,10679357.7331,11095975.8572,10280874.9393,148032.42,142506.65,11095722.2934,10280851.3439,10818160.8414,0.835944519161
72.71,70.84,148027.46,11088902.1912,142497.31,10273586.6879,10671217.5534,147954.75,142426.47,11083615.4471,10268568.3823,10665683.0683,10664813.1786,10666066.777,11082412.6241,10267304.5907,147944.07,142415.8,11081948.2991,10266942.8078,10805497.1217,0.835944519161
70.78,67.98,147911.27,11070618.4753,142359.51,10252634.3355,10651542.5107,147840.49,142291.53,11065608.6669,10248013.0551,10646022.4032,10645031.2542,10646730.8863,11064069.3897,10246321.4738,147825.54,142275.19,11063268.8424,10245524.4731,10788105.8056,0.835944519161
70.18,69.05,147762.33,11047284.4705,142212.48,10230282.4856,10628705.0424,147692.15,142143.43,11042359.2381,10225514.5831,10623008.2722,10622439.0637,10623859.1134,11040672.8312,10224093.1247,147675.36,142130.51,11039720.6896,10223563.4047,10766943.9135,0.835944519161
70.03,67.15,147603.46,11022270.86,142063.28,10208005.1524,10605092.9139,147533.43,141996.13,11017366.6591,10203496.0299,10599695.7648,10599067.5975,10600390.3994,11015842.6012,10202167.1016,147518.51,141984.04,11015054.3575,10201726.1748,10746286.6236,0.835944519161
